,std,dates,err,min,max,average,ct
0,18.5,2016-01-01,24.25,206.25,293.75,242.5,697
1,17.125,2016-02-01,24.25,210.125,302.75,241.875,656
2,19.5,2016-03-01,24.375,207.125,320.25,244.0625,696
3,18.0,2016-04-01,24.625,192.875,298.25,245.78125,565
4,17.75,2016-05-01,25.75,220.0,308.75,257.75,620
5,29.875,2016-06-01,27.375,214.0,410.5,273.21875,573
6,24.625,2016-07-01,26.875,204.25,349.0,268.25,457
7,20.5,2016-08-01,25.875,201.375,308.75,258.4375,665
8,29.25,2016-09-01,25.5,193.875,343.75,255.203125,589
9,23.5,2016-10-01,27.25,214.375,322.25,271.96875,630
